,name,rating,number_of_ratings,category,subcategory,brand,price,discount,sold_by,best_seller_rank,best_seller_category,image
0,55 Inch 4K UHD Smart LED TV with Built-in Receiver - UA55DU7000UXEG Black,4.1,231 Ratings,Electronics & Mobiles,Televisions,Samsung,19850.00,9% Off,SMART HOME,Best Seller#6,Televisions,https://f.nooncdn.com/p/pnsku/N70061440V/45/_/1749037441/dcd22fca-6d27-4978-b56c-a10a99fa34ee.jpg?width=800
1,25W Adapter USB-C Super Fast Charging Travel Adapter (EU Plug) Black,3.9,1055 Ratings,Electronics & Mobiles,Wall Chargers,Samsung,90.80,,dtechstore,Best Seller#1,Wall Chargers,https://f.nooncdn.com/p/pnsku/N70052822V/45/_/1709793101/5152c98f-80e1-4ab1-a953-76346140ab38.jpg?width=800
2,25W Adapter USB-C Super Fast Charging Travel Adapter (EU Plug) Black,3.7,601 Ratings,Electronics & Mobiles,Batteries & Chargers,Samsung,78.00,,Egyptian German,Best Seller#1,Batteries & Chargers,https://f.nooncdn.com/p/v1633869899/N51193935A_1.jpg?width=800
3,Galaxy M34 Dual SIM Silver 8GB RAM 128GB 5G - Middle East Version,4.6,470 Ratings,Electronics & Mobiles,Smartphones,Samsung,9999.00,9% Off,Dr.Mobile,,,https://f.nooncdn.com/p/pnsku/N70050653V/45/_/1709280167/1250c999-24df-415d-b568-e5f4817d7d51.jpg?width=800
4,Galaxy A16 Dual SIM Black 4GB RAM 128GB  4G with free 25W Adapter USB-C Super Fast Charging Travel Adapter (EU Plug),4.6,65 Ratings,Electronics & Mobiles,Smartphones,Samsung,8020.00,,Dr.Mobile,,,https://f.nooncdn.com/p/pnsku/N70132544V/45/_/1733197584/a260650e-e9af-4530-9b1b-6d5e81472981.jpg?width=800
5,32-Inch HD Smart TV With Built In Receiver UA32T5300A / UA32T5300AUXEG Black,4.4,1171 Ratings,Electronics & Mobiles,Televisions,Samsung,8799.00,,noon,Best Seller#14,Televisions,https://f.nooncdn.com/p/pnsku/N36660156A/45/_/1749037497/a4b0ef26-10e6-45fb-b3ce-746b914f84b5.jpg?width=800
6,Galaxy A06 4G Dual SIM Black 6GB RAM 128GB - Middle East Version,4.4,574 Ratings,Electronics & Mobiles,Smartphones,Samsung,5899.00,15% Off,noon,Best Seller#28,Smartphones,https://f.nooncdn.com/p/pnsku/N70115329V/45/_/1729857232/d4609ca3-c1b0-49cd-b37d-dfc7b14d811b.jpg?width=800
7,Galaxy A06 4G Dual SIM Black 4GB RAM 128GB - Middle East Version,4.4,2974 Ratings,Electronics & Mobiles,Smartphones,Samsung,5265.95,17% Off,Souq Store,Best Seller#26,Smartphones,https://f.nooncdn.com/p/pnsku/N70102389V/45/_/1726147980/db813de6-aa37-4f19-8208-7e7f6b4e24f8.jpg?width=800
8,"27 Inch LED Monitor with Borderless Design - FreeSync, FHD, IPS, LF27T350FHMXZN , Black",4.4,109 Ratings,Electronics & Mobiles,Monitors,Samsung,5460.00,,Arab Business,Best Seller #5,Monitor Accessories,https://f.nooncdn.com/p/v1638956231/N52093428A_1.jpg?width=800
9,43-Inch Full HD Smart TV With Built In Receiver 43T5300 / UA43T5300AUXEG Black,4.2,483 Ratings,Electronics & Mobiles,Televisions,Samsung,13450.00,,SMART HOME,Best Seller#26,Televisions,https://f.nooncdn.com/p/v1669651353/N36660157A_1.jpg?width=800
